key,name,X,Y,Z,,,,
Ys,YEBES40M,4848762.10000,-261484.50000,4123084.90000,73863601,3.09,40.52,Other
Ft,FORTLEZA,4985370.04891,-3955020.32584,-428472.30378,72974801,38.43,-3.88,GLB1069
Kk,KOKEE,-5543837.61747,-2054567.84798,2387851.93900,72983001,159.67,22.13,GLB1069
Is,ISHIOKA,-3959636.07000,3296825.48000,3747042.61000,00000000,219.78,36.21,GSFC Solution
Yg,YARRA12M,-2388896.05700,5043349.96800,-3078590.91800,73761401,244.65,-29.05,2011b
Sv,SVETLOE,2730173.86000,1562442.67000,5529969.07000,73800000,330.22,60.53,R4061
Ht,HART15M,5085489.54000,2668160.83400,-2768691.93300,73780000,332.32,-25.89,R4554 position
Ma,MATERA,4641938.78318,1393003.02605,4133325.52288,72435701,343.30,40.65,GLB1069
Wz,WETTZELL,4075539.89941,931735.27025,4801629.35185,72247801,347.12,49.15,GLB1069
Wn,WETTZ13N,4075627.78800,931774.12800,4801552.27700,73870000,347.12,49.15,per Sebastian Halsig
Ny,NYALES20,1202462.76928,252734.40716,6237766.01541,73313301,348.13,78.93,GLB1069